tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	estimated counts
1459	0.09737847843464859	Sporosarcina globispora	Sporosarcina	Planococcaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria				710.0838647454575
68284	0.013693629160227013	Streptomyces werraensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria				99.85394383637538
86473	0.03372207390832518	uncultured Gammaproteobacteria bacterium				Gammaproteobacteria	Proteobacteria		Bacteria				245.90136293950718
1632536	0.08098533522348218	bacterium YC-ZSS-LKJ141							Bacteria				590.545064449632
344338	0.20375037399692153	uncultured Firmicutes bacterium					Firmicutes	Terrabacteria group	Bacteria				1485.7477271855519
321763	0.021378317019691506	Halarsenatibacter silvermanii	Halarsenatibacter	Halanaerobiaceae	Halanaerobiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				155.89068770759047
1222000	0.010065267568813877	uncultured Halarsenatibacter sp.	Halarsenatibacter	Halanaerobiaceae	Halanaerobiales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				73.39593111179079
152508	0.1134719751583984	uncultured low G+C Gram-positive bacterium					Firmicutes	Terrabacteria group	Bacteria				827.4376428550411
152509	0.002534296527694546	uncultured Bacteroidetes bacterium					Bacteroidetes	FCB group	Bacteria				18.48009027994863
273375	0.019597104262789794	uncultured Alkaliphilus sp.	Alkaliphilus	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				142.90208428426317
1482730	0.0034474561775463936	Alkaliphilus hydrothermalis	Alkaliphilus	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				25.138850446668304
185693	0.002630219904110381	Alkaliphilus crotonatoxidans	Alkaliphilus	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				19.179563540772897
426129	0.0026292941874985765	Alkaliphilus peptidifermentans	Alkaliphilus	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				19.17281321523962
1454184	0.0026310670165728364	Alkaliphilus namsaraevii	Alkaliphilus	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				19.185740684849122
75451	0.028141944362980217	uncultured haloarchaeon MSP9					Euryarchaeota		Archaea				205.21105829485174
75458	0.004642243355437781	uncultured haloarchaeon MSP23					Euryarchaeota		Archaea				33.8512385478523
89959	0.015374696864897135	Natronincola histidinovorans	Natronincola	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Terrabacteria group	Bacteria				112.11228953882991
1405	0.0035126171233867336	Bacillus mycoides	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria			Bacillus cereus group	25.61400406373606
86189	0.06879240450530598	[Pseudomonas] hibiscicola	Stenotrophomonas	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria		Bacteria			Stenotrophomonas maltophilia group	501.6342136526912
