"","tax_id","species","genus","family","order","class","phylum","clade","superkingdom","subspecies","species.subgroup","species.group"
"barcode04.1","86189","[Pseudomonas] hibiscicola","Stenotrophomonas","Xanthomonadaceae","Xanthomonadales","Gammaproteobacteria","Proteobacteria","","Bacteria",NA,NA,"Stenotrophomonas maltophilia group"
"barcode04.2","1243630","Arthrobacter sp. G20","Arthrobacter","Micrococcaceae","Micrococcales","Actinomycetia","Actinobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.3","1459","Sporosarcina globispora","Sporosarcina","Planococcaceae","Bacillales","Bacilli","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.4","68284","Streptomyces werraensis","Streptomyces","Streptomycetaceae","Streptomycetales","Actinomycetia","Actinobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.5","56810","Psychrobacter glacincola","Psychrobacter","Moraxellaceae","Moraxellales","Gammaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode04.6","75458","uncultured haloarchaeon MSP23","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode04.7","75451","uncultured haloarchaeon MSP9","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode04.8","75449","uncultured haloarchaeon MSP1","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode04.9","160804","uncultured haloarchaeon","","Halobacteriaceae","Halobacteriales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode04.10","86473","uncultured Gammaproteobacteria bacterium","","","","Gammaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode04.11","148448","Halobiforma haloterrestris","Halobiforma","Natrialbaceae","Natrialbales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode04.12","344338","uncultured Firmicutes bacterium","","","","","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.13","152508","uncultured low G+C Gram-positive bacterium","","","","","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.14","168379","Halorhodospira neutriphila","Halorhodospira","Ectothiorhodospiraceae","Chromatiales","Gammaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode04.15","1482731","Alkaliphilus serpentinus","Alkaliphilus","Clostridiaceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.16","1211","uncultured cyanobacterium","","","","","Cyanobacteria","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.17","137771","uncultured diatom","","","","","Bacillariophyta","Sar","Eukaryota",NA,NA,""
"barcode04.18","100272","uncultured eukaryote","","","","","","","Eukaryota",NA,NA,""
"barcode04.19","645025","uncultured Halorhodospira sp.","Halorhodospira","Ectothiorhodospiraceae","Chromatiales","Gammaproteobacteria","Proteobacteria","","Bacteria",NA,NA,""
"barcode04.20","1822367","Candidatus Moeniiplasma glomeromycotorum","Candidatus Moeniiplasma","Mycoplasmataceae","Mycoplasmatales","Mollicutes","Tenericutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.21","75454","uncultured haloarchaeon MSP14","","","","","Euryarchaeota","","Archaea",NA,NA,""
"barcode04.22","321763","Halarsenatibacter silvermanii","Halarsenatibacter","Halanaerobiaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.23","1379109","Natrinema sp. A3BC2sc","Natrinema","Natrialbaceae","Natrialbales","Halobacteria","Euryarchaeota","Stenosarchaea group","Archaea",NA,NA,""
"barcode04.24","13136","unidentified marine bacterioplankton","","","","","","","Bacteria",NA,NA,""
"barcode04.25","153809","uncultured proteobacterium","","","","","Proteobacteria","","Bacteria",NA,NA,""
"barcode04.26","549628","Halanaerobiaceae enrichment culture clone SLAb1-1","","Halanaerobiaceae","Halanaerobiales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.27","1260629","Proteinivorax tanatarense","Proteinivorax","Proteinivoraceae","Eubacteriales","Clostridia","Firmicutes","Terrabacteria group","Bacteria",NA,NA,""
"barcode04.28","unassigned","","","","","","","","",NA,NA,""
"barcode09.2","1243629","Arthrobacter sp. F20","Arthrobacter","Micrococcaceae","Micrococcales","Actinomycetia","Actinobacteria","Terrabacteria group","Bacteria",NA,NA,""
